SMILES,PBT_label
Clc1ccc2c(Cl)ccnc2c1,0.0
NC(=Nc1ccccc1)Nc1ccccc1,0.0
O=C1OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21,1.0
COC(=O)C(F)(F)F,0.0
C1=CCCC=CCCC=CCC1,0.0
CC(C)O,0.0
C=CC(F)(F)F,0.0
CCCCO,0.0
O=C1CCC(C(=O)O)N1,0.0
COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](Cl)(Cl)Cl,1.0
O=C(O)C(O)C(O)C(O)C(O)CO,0.0
CC1CCC2(OC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C,1.0
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,1.0
Cc1cc(N)ccc1N,0.0
CC(C)CCCCCCCCCCCCCCC(=O)O,0.0
Nc1ccc(Cl)c(Cl)c1,0.0
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,1.0
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,1.0
O=CO,0.0
c1ccc(-c2ccccc2)cc1,0.0
NCCO,0.0
Clc1ccccc1C(Cl)(Cl)Cl,0.0
CC(N)C(=O)O,0.0
CCO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCC)OCC,1.0
CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccccc2)cc1,0.0
O=[P+]([O-])[O-],0.0
O=C(O)C=CC(=O)O,0.0
Clc1ccccc1,0.0
O=C(O)c1ccccc1O,0.0
Oc1ccccc1Cl,0.0
CC(C)(C)NSc1nc2ccccc2s1,0.0
FC(F)Cl,0.0
C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,0.0
O=C(O)CC[N+](CCO)(CCO)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
CN(C)CCCNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
Cc1cc(Sc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,0.0
Nc1ccc(Cc2ccc(N)cc2)cc1,0.0
Cc1cc(O)c(Cl)c(C)c1Cl,0.0
CCN(CC)c1ccc2cc(-c3nc4ccccc4[nH]3)c(=O)oc2c1,0.0
CN(C)C1CCCCC1,0.0
CC(CC(=O)OOC(=O)CC(C)CC(C)(C)C)CC(C)(C)C,0.0
CCN(CC)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1.0
COc1ccc(NC(=O)c2cc3ccc4c5ccccc5[nH]c4c3cc2O)cc1,1.0
O=C(Oc1c(Br)cc(Br)cc1Br)c1ccccc1O,1.0
CC1CCC2(NC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C,1.0
c1cc2c3c(c1)ccc1ccc4cccc(c4c13)O2,1.0
C1CCC2C(C1)CCC1SC3CCC4CCCCC4C3C12,1.0
FC(F)(F)C(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C(F)(F)C1(F)F,1.0
CC1CCC2C(C)C3C(CC4C5CCC6CC(O)CCC6(C)C5CCC43C)N2C1,1.0
COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,1.0
Oc1cc(Cl)c(Cl)c(Cl)c1Cc1c(O)cc(Cl)c(Cl)c1Cl,1.0
CCN(CC)c1ccc(C(O)(c2ccc(N(CC)CC)cc2)c2ccc(N(CC)CC)cc2)cc1,1.0
O=C1OC(=O)c2c(I)c(I)c(I)c(I)c21,1.0
ClC(Cl)(Cl)c1cccc(C(Cl)(Cl)Cl)c1,1.0
CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,1.0
COC(=O)CCC(C)C1CCC2C3CCC4CCCCC4(C)C3CC(=O)C12C,1.0
CC(=O)OC1(C(C)=O)CCC2C3CC=C4C=C(OC5CCCC5)CCC4(C)C3CCC21C,1.0
C1CCCN(CC2CCC(CN3CCCCCC3)CC2)CC1,1.0
Clc1cccc(CNCC2CCC(CNCc3cccc(Cl)c3)CC2)c1,1.0
C=CC(C)(O)CCC1C(=C)CC(O)C2C(C)(C)CCCC12C,1.0
CC1(C)CC2(CC(C)(C)c3ccc(O)cc32)c2cc(O)ccc21,1.0
C=CC1(C)CCC2C(=CCC3C(C)(C)CCCC23C)C1,1.0
Fc1cc2ccccc2c2cc3ccc4ccccc4c3cc12,1.0
CC12CCC3C(CCC4CCCCC43C)C1CC1(C2)OCCO1,1.0
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)c3ccccc3)CCC12,1.0
Cc1ccc2oc(-c3ccc(C=Cc4ccc(-c5nc6cc(C)ccc6o5)cc4)cc3)nc2c1,1.0
CN(Cc1ccccc1C(F)(F)F)C1CC2CCC1CC2N(C)Cc1ccccc1C(F)(F)F,1.0
ClCC(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1.0
Cc1ccc(C(O)(c2ccc(C)cc2)c2ccc(C)cc2)cc1,1.0
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3O,1.0
CCc1cc(CC)c2nc3ccc4ccccc4c3cc2c1,1.0
C=CCOc1c(Br)c(Br)c(Br)c(Br)c1Br,1.0
CC(C)(C)c1cc(C(C)(C)C)c([N+](=O)[O-])c(C(C)(C)C)c1,1.0
CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,1.0
CN(C1CCc2ccccc21)C1CC2CCC1CC2N(C)C1CCc2ccccc21,1.0
Cc1ccc(Nc2cc(S(=O)(=O)c3ccccc3)c(N)c3c2C(=O)c2ccccc2C3=O)cc1,1.0
COc1cc(CC2c3cc(OC)c(OC)cc3CCN2C)c(Oc2cc3c(cc2OC)-c2c(OC)c(OC)cc4c2C(C3)N(C)CC4)cc1OC,1.0
O=C(Nc1ccc(Br)cc1)c1cc(Cl)cc(Br)c1O,1.0
CC(C)(C)c1ccc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc1,1.0
Cc1cc(Cl)c(Cl)cc1Cl,1.0
CCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)OCCC,1.0
COC(=O)c1ccc2c(c1)C(C)(C)C(=CC=C(C#N)C(=O)OCCCc1ccccc1)N2C,1.0
O=c1c2ccc3c(=O)n4c5cc(Cl)ccc5nc4c4ccc(c2c34)c2nc3ccc(Cl)cc3n12,1.0
Fc1c(F)c(-c2c(F)c(F)c(Br)c(F)c2F)c(F)c(F)c1Br,1.0
CN(C)CCCC1(c2ccccc2)OC(C)(C)c2ccc(Cl)cc21,1.0
CCC1C=CC=CCC(C)C(O)C(C)C(=O)C(C)C(O)C(C)C(=O)C(C)C(O)C(C)C=CC(=O)OC2C(C)C(CC1)OC1(CCC(C)C(CC(C)O)O1)C2C,1.0
c1cc2cc(c1)CCc1cccc(c1)CCc1cccc(c1)CC2,1.0
Sc1c(S)c(Cl)c(Cl)c(Cl)c1Cl,1.0
CC(C)CCCC(C)C1CCC2C3C=CC4=CC(O)CCC4(C)C3CCC12C,1.0
