CAS,R,SMILES,PBT_label
50-29-3,pr,Clc1ccc(cc1)C(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,1
50-41-9,pr,CCN(CC)CCOc1ccc(cc1)C(=C(Cl)c1ccccc1)c1ccccc1,1
50-52-2,pr,CSc1ccc2Sc3ccccc3N(CCC3CCCCN3C)c2c1,1
53-19-0,pr,Clc1ccc(cc1)C(C(Cl)Cl)c1ccccc1Cl,1
53-69-0,pr,Cc1cc(C)c2nc3ccc4ccccc4c3cc2c1,1
53-70-3,pr,c1ccc2ccc3cc4c(ccc5ccccc45)cc3c2c1,1
56-49-5,pr,Cc1ccc2cc3c4ccccc4ccc3c3CCc1c23,1
57-74-9,pr,ClC1CC2C(C1Cl)C1(Cl)C(=C(Cl)C2(Cl)C1(Cl)Cl)Cl,1
57-97-6,pr,Cc1c2ccc3ccccc3c2c(C)c2ccccc12,1
58-20-8,pr,O=C(CCC1CCCC1)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,1
60-91-3,pr,CCN(CC)CCN1c2ccccc2Sc2ccc(Cl)cc12,1
67-81-2,pr,CC1(O)CCC2C3CC=C4C=C(CCC4(C)C3CCC12C)OC1CCCC1,1
67-95-8,n,CC(=O)C1CCC2C3CC=C4C=C(CCC4(C)C3CCC12C)OC1CCCC1,1
67-98-1,n,CCN(CC)CCOc1ccc(cc1)C(O)(Cc1ccc(OC)cc1)c1ccccc1,1
68-90-6,pr,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,1
68-91-7,pr,O=C1N(Cc2ccccc2)C2CS3(CCCC3C2N1Cc1ccccc1)OS(=O)(=O)CC12CCC(CC1=O)C2(C)C,1
72-54-8,pr,Clc1ccc(cc1)C(C(Cl)Cl)c1ccc(Cl)cc1,1
72-55-9,pr,Clc1ccc(cc1)C(=C(Cl)Cl)c1ccc(Cl)cc1,1
72-56-0,pr,CCc1ccc(cc1)C(C(Cl)Cl)c1ccc(CC)cc1,1
76-44-8,pr,ClC1C=CC2C1C1(Cl)C(=C(Cl)C2(Cl)C1(Cl)Cl)Cl,1
76-60-8,pr,Brc1cc(c(C)c(Br)c1O)C1(OS(=O)(=O)c2ccccc12)c1cc(Br)c(O)c(Br)c1C,1
76-61-9,pr,CC(C)c1cc(c(C)cc1O)C1(OS(=O)(=O)c2ccccc12)c1cc(C(C)C)c(O)cc1C,1
76-62-0,pr,Brc1cc(cc(Br)c1O)C1(OC(=O)c2ccccc12)c1cc(Br)c(O)c(Br)c1,1
76-64-2,pr,CCC(=O)C(C(C)CN1CCCCC1)(c1ccccc1)c1ccccc1,1
77-59-8,pr,CC1CCC2(NC1)OC1CC3C4CCC5CC(O)CCC5(C)C4CCC3(C)C1C2C,1
77-60-1,pr,CC1CCC2(OC1)OC1CC3C4CCC5CC(O)CCC5(C)C4CCC3(C)C1C2C,1
