SMILES,Source,PBT_label
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,https://echa.europa.eu/pbt,1
O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,https://echa.europa.eu/pbt,1
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,https://echa.europa.eu/pbt,1
c1cc2ccc3cccc4ccc(c1)c2c34,https://echa.europa.eu/pbt,1
c1ccc2sc(SN(C3CCCCC3)C3CCCCC3)nc2c1,https://echa.europa.eu/pbt,1
CCC(C)c1cc(C(C)(C)C)cc(-n2nc3ccccc3n2)c1O,https://echa.europa.eu/pbt,1
CC(C)(C)c1cc(-n2nc3ccc(Cl)cc3n2)c(O)c(C(C)(C)C)c1,https://echa.europa.eu/pbt,1
CCC(C)C1(C)COC(C2CCC(C)=CC2C)OC1,https://echa.europa.eu/pbt,1
CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,https://echa.europa.eu/pbt,1
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,https://echa.europa.eu/pbt,1
ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl,https://echa.europa.eu/pbt,1
ClC1=C(Cl)[C@]2(Cl)[C@@H]3CC[C@@H]4[C@H](CC[C@@H]3[C@@]1(Cl)C2(Cl)Cl)[C@]1(Cl)C(Cl)=C(Cl)[C@@]4(Cl)C1(Cl)Cl,https://echa.europa.eu/pbt,1
ClC1=C(Cl)[C@]2(Cl)[C@@H]3CC[C@H]4[C@@H](CC[C@@H]3[C@@]1(Cl)C2(Cl)Cl)[C@@]1(Cl)C(Cl)=C(Cl)[C@]4(Cl)C1(Cl)Cl,https://echa.europa.eu/pbt,1
C1=CC(c2ccc(C3CC=CCC3)cc2)CCC1,https://echa.europa.eu/pbt,1
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.OCC[NH2+]CCO,https://echa.europa.eu/pbt,1
N.O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,https://echa.europa.eu/pbt,1
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],https://echa.europa.eu/pbt,1
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,https://echa.europa.eu/pbt,1
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],https://echa.europa.eu/pbt,1
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,https://echa.europa.eu/pbt,1
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,https://echa.europa.eu/pbt,1
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,https://echa.europa.eu/pbt,1
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na],https://echa.europa.eu/pbt,1
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[NH4+],https://echa.europa.eu/pbt,1
c1ccc2c(c1)-c1cccc3cccc-2c13,https://echa.europa.eu/pbt,1
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,https://echa.europa.eu/pbt,1
