SMILES,Source,PBT_label
CCCC(Cl)CCCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCCC(Cl)CCC,http://www.pops.int/TheConvention/ThePOPs/TheNewPOPs/tabid/2511/Default.aspx,1
CCCC(Cl)CCC(Cl)CC(Cl)C(Cl)CCC(Cl)CCC(Cl)C(Cl)CC(C)Cl,http://www.pops.int/TheConvention/ThePOPs/TheNewPOPs/tabid/2511/Default.aspx,1
COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,http://www.pops.int/TheConvention/ThePOPs/TheNewPOPs/tabid/2511/Default.aspx,1
CC(Cl)CCCC(Cl)CCCC(Cl)CCCC(Cl)CCCC(Cl)CCCC(Cl)CCCl,http://www.pops.int/TheConvention/ThePOPs/TheNewPOPs/tabid/2511/Default.aspx,1
CCCCCCCCCCCC(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,http://www.pops.int/TheConvention/ThePOPs/TheNewPOPs/tabid/2511/Default.aspx,1
O.[Na+].[O-]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,http://www.pops.int/TheConvention/ThePOPs/TheNewPOPs/tabid/2511/Default.aspx,1
[Na+].[O-]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,http://www.pops.int/TheConvention/ThePOPs/TheNewPOPs/tabid/2511/Default.aspx,1
CCC(Cl)C(Cl)C(Cl)CC(Cl)C(Cl)C(C)Cl,http://www.pops.int/TheConvention/ThePOPs/TheNewPOPs/tabid/2511/Default.aspx,1
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,http://www.pops.int/TheConvention/ThePOPs/TheNewPOPs/tabid/2511/Default.aspx,1
Brc1cc(Br)c(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,http://www.pops.int/TheConvention/ThePOPs/TheNewPOPs/tabid/2511/Default.aspx,1
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,http://www.pops.int/TheConvention/ThePOPs/TheNewPOPs/tabid/2511/Default.aspx,1
Brc1ccc(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)cc1,http://www.pops.int/TheConvention/ThePOPs/TheNewPOPs/tabid/2511/Default.aspx,1
Brc1ccccc1Oc1c(Br)c(Br)c(Br)c(Br)c1Br,http://www.pops.int/TheConvention/ThePOPs/TheNewPOPs/tabid/2511/Default.aspx,1
Brc1cc(Br)c(Oc2c(Br)cccc2Br)c(Br)c1Br,http://www.pops.int/TheConvention/ThePOPs/TheNewPOPs/tabid/2511/Default.aspx,1
Brc1cc(Br)c(Oc2ccc(Br)c(Br)c2Br)c(Br)c1,http://www.pops.int/TheConvention/ThePOPs/TheNewPOPs/tabid/2511/Default.aspx,1
Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1Br,http://www.pops.int/TheConvention/ThePOPs/TheNewPOPs/tabid/2511/Default.aspx,1
