SMILES,PBT_label
Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.0
Brc1c(Br)c(Br)c2c(c1Br)Oc1ccccc1O2,1.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,1.0
CN(C)CCCNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,1.0
ClC(Cl)(Cl)Cl,0.0
NC(=Nc1ccccc1)Nc1ccccc1,0.0
CCCCCCC=C1CCCC1=O,0.0
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,1.0
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,1.0
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,1.0
Brc1cc(Br)c(Oc2ccc(Br)c(Br)c2Br)c(Br)c1,1.0
CCCCCCCCC=CCCCCCCCC(=O)O,0.0
CCCCCCCCCCCCCCCCOC(=O)C=CC(=O)O,0.0
Brc1ccccc1Oc1c(Br)c(Br)c(Br)c(Br)c1Br,1.0
CN(C)CCC=C1c2cc(Cl)ccc2Sc2ccc(Br)cc21,1.0
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0.0
C=CCc1cc(C(C)(C)c2ccc(O)c(CC=C)c2)ccc1O,0.0
CCCCCCCCCCCCCCCCCC(=O)O,0.0
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,1.0
O=C1OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21,1.0
N=C1C=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=C1,0.0
c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1,1.0
C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,0.0
CCN(CC)c1ccc(C=CC2=[N+](C)c3ccccc3C2(C)C)cc1,0.0
CC(Cl)CCCC(Cl)CCCC(Cl)CCCC(Cl)CCCC(Cl)CCCC(Cl)CCCl,1.0
O=C(NC(CSCc1ccccc1)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)OCc1ccccc1,1.0
Cc1cc2c3ccccc3ccc2c2ccccc12,1.0
O=C(OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,1.0
CC(C)(C)c1ccc(OC(=O)c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)c(C2C(=O)Oc3ccc(C(C)(C)C)cc32)c1,0.0
Clc1ccccc1CNCC1CCC(CNCc2ccccc2Cl)CC1,1.0
CCN(CCCNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(=O)O,1.0
ClC1=C(Cl)C2(Cl)C(CBr)CC1(Cl)C2(Cl)Cl,1.0
O=P(OCC(CBr)(CBr)CBr)(OCC(CBr)(CBr)CBr)OCC(CBr)(CBr)CBr,0.0
Clc1ccc(Cl)cc1,0.0
C[Si]1O[Si](C)O[Si](C)O[Si](C)O[Si](C)O1,0.0
FC(C(F)(F)F)C(F)(F)F,0.0
CC(=O)CC(C)=O,0.0
Cc1cc(C)c(Cl)c(O)c1,0.0
CC1OC(=O)C(C)OC1=O,0.0
CCCCCCCCCCCCc1ccccc1S(=O)(=O)O,0.0
Clc1ccc(C(=CCBr)c2ccc(-c3ccc(Cl)cc3)cc2)cc1,1.0
COC(=O)C(F)(F)F,0.0
CCCCCCCCCCCC(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.0
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0
O=C1c2ccccc2C(=O)c2ccccc21,0.0
OCCN(CCO)CCO,0.0
BrC(Br)Br,0.0
O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,0.0
O=C(O)O,0.0
