smi1_original,smi2_original,smi1_standardized,smi2_standardized,label_1,label_2
BrC(Br)Br,BrC(Br)Br,BrC(Br)Br,BrC(Br)Br,0,0
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,Br[C@H]1CC[C@@H](Br)[C@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,1,1
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,Br[C@H]1CC[C@H](Br)[C@H](Br)CC[C@@H](Br)[C@H](Br)CC[C@H]1Br,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,1,1
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,Br[C@H]1CC[C@@H](Br)[C@H](Br)CC[C@H](Br)[C@H](Br)CC[C@H]1Br,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,1,1
Br[C@H]1CC[C@@H](Br)[C@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br,Br[C@H]1CC[C@H](Br)[C@H](Br)CC[C@@H](Br)[C@H](Br)CC[C@H]1Br,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,1,1
Br[C@H]1CC[C@@H](Br)[C@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br,Br[C@H]1CC[C@@H](Br)[C@H](Br)CC[C@H](Br)[C@H](Br)CC[C@H]1Br,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,1,1
Br[C@H]1CC[C@H](Br)[C@H](Br)CC[C@@H](Br)[C@H](Br)CC[C@H]1Br,Br[C@H]1CC[C@@H](Br)[C@H](Br)CC[C@H](Br)[C@H](Br)CC[C@H]1Br,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,1,1
Brc1c2Oc3ccccc3Oc2c(Br)c(Br)c1Br,Brc1c2Oc3ccccc3Oc2c(Br)c(Br)c1Br,Brc1c(Br)c(Br)c2c(c1Br)Oc1ccccc1O2,Brc1c(Br)c(Br)c2c(c1Br)Oc1ccccc1O2,1,1
Brc1cc(Br)c(c(Br)c1)c1c(Br)cc(Br)cc1Br,Brc1cc(Br)c(c(Br)c1)c1c(Br)cc(Br)cc1Br,Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,1,1
Brc1cc(Br)c(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,Brc1cc(Br)c(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,Brc1cc(Br)c(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,Brc1cc(Br)c(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,1,1
Brc1cc(Br)c(Oc2c(Br)cccc2Br)c(Br)c1Br,Brc1cc(Br)c(Oc2c(Br)cccc2Br)c(Br)c1Br,Brc1cc(Br)c(Oc2c(Br)cccc2Br)c(Br)c1Br,Brc1cc(Br)c(Oc2c(Br)cccc2Br)c(Br)c1Br,1,1
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,1,1
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,1,1
